listing_id,weekend_availability_rate,weekday_availability_rate
3302466,1.0,1.0
3305340,1.0,1.0
3308974,0.08974358974358974,0.08133971291866028
3313109,0.5,0.4880382775119617
3357068,1.0,1.0
3357150,0.8012820512820513,0.861244019138756
3366207,0.4935897435897436,0.48325358851674644
3405707,0.9808917197452229,1.0
3429640,0.8076923076923077,0.8421052631578947
3454629,1.0,1.0
3470058,1.0,1.0
3486257,0.38461538461538464,0.37320574162679426
3487456,1.0,1.0
3490772,0.5512820512820513,0.5598086124401914
3494585,1.0,0.9952153110047847
3517150,0.358974358974359,0.3827751196172249
3517494,0.3782051282051282,0.3397129186602871
3517568,0.6624203821656051,0.6442307692307693
3537435,0.8076923076923077,0.8277511961722488
3570129,0.9554140127388535,0.9807692307692307
3570282,0.8782051282051282,0.8947368421052632
3598671,1.0,0.9856459330143541
3639238,1.0,1.0
3642057,1.0,1.0
3642227,0.9936305732484076,1.0
3642306,1.0,1.0
3642322,1.0,1.0
3644775,0.9102564102564102,0.9043062200956937
3670885,0.9423076923076923,0.9712918660287081
3672032,1.0,0.9904306220095693
3677284,1.0,1.0
3683927,0.46153846153846156,0.45454545454545453
3699442,0.9871794871794872,0.9904306220095693
3701342,0.967948717948718,0.9712918660287081
3707716,0.967948717948718,0.9617224880382775
3711150,0.7948717948717948,0.7942583732057417
3746735,0.4423076923076923,0.4449760765550239
3750139,1.0,1.0
3755205,1.0,1.0
3763469,1.0,1.0
3765634,1.0,0.9952153110047847
3767688,1.0,1.0
3769618,0.967948717948718,0.9760765550239234
3797539,0.9681528662420382,0.9903846153846154
3882914,1.0,0.9952153110047847
3914581,1.0,1.0
3938250,1.0,1.0
3945384,0.9743589743589743,0.9760765550239234
3945835,1.0,1.0
3950512,0.2356687898089172,0.25
3950864,0.2929936305732484,0.2932692307692308
3959552,1.0,1.0
3975639,1.0,1.0
3993690,1.0,0.9952153110047847
3998799,0.3333333333333333,0.3397129186602871
4021625,1.0,0.9952153110047847
4034893,0.9808917197452229,0.9807692307692307
4035266,0.9615384615384616,0.9617224880382775
4037080,0.9871794871794872,0.9760765550239234
4037346,0.967948717948718,0.9617224880382775
4042600,0.9935897435897436,0.9617224880382775
4042700,0.9935897435897436,0.9952153110047847
4043923,0.9935897435897436,0.9952153110047847
4044038,0.0,0.0
4044301,0.8269230769230769,0.8181818181818182
4044582,0.8853503184713376,0.8942307692307693
4049958,0.4358974358974359,0.4688995215311005
4056987,0.25,0.23923444976076555
4057320,1.0,0.9952153110047847
4105090,1.0,1.0
4110957,0.7371794871794872,0.7368421052631579
4119020,0.9230769230769231,0.9234449760765551
4123602,0.0,0.0
4140071,0.8012820512820513,0.8038277511961722
4150745,1.0,1.0
4161133,0.7115384615384616,0.6985645933014354
4169919,0.8269230769230769,0.8277511961722488
4216459,0.9423076923076923,0.937799043062201
4221645,0.2356687898089172,0.2403846153846154
4231434,1.0,0.9856459330143541
4313334,0.9615384615384616,0.9569377990430622
4317490,1.0,1.0
4336868,1.0,0.9952153110047847
4349756,0.2356687898089172,0.24519230769230768
4359997,1.0,1.0
4373763,0.5448717948717948,0.5406698564593302
4376867,0.9745222929936306,0.9807692307692307
4380494,1.0,0.9952153110047847
4390796,0.9554140127388535,0.9182692307692307
4399839,1.0,1.0
4423474,1.0,1.0
4424054,0.20512820512820512,0.22009569377990432
