listing_id,num_reviews,num_reviews_bin
7156905,7,3
7191843,137,6
7286199,63,6
7300321,17,4
7324844,1,1
7352957,14,4
7370578,24,5
7391993,3,2
7398954,63,6
7426122,181,6
7427058,25,5
7431528,18,4
7486485,3,2
7516417,11,4
7531650,91,6
7609047,4,2
7653717,15,4
7663592,67,6
7690195,18,4
7746313,52,6
7746512,1,1
7746917,1,1
7798700,435,6
7802509,121,6
7823458,8,3
7901465,206,6
7902449,130,6
7902653,81,6
7903184,24,5
7961923,14,4
7971354,23,5
7971739,37,5
8006206,1,1
8058213,9,3
8059063,57,6
8065354,4,2
8069705,8,3
8075794,90,6
8076068,25,5
8085727,15,4
8114490,266,6
8115430,128,6
8116994,73,6
8117017,25,5
8117170,27,5
8117304,38,5
8145576,74,6
8155948,158,6
8295795,27,5
8301532,110,6
8313300,2,1
8366787,78,6
8388505,6,3
8416143,44,5
8468138,51,5
8487113,489,6
8494202,337,6
8517896,329,6
8667636,1,1
8684938,10,4
8715436,272,6
8727508,34,5
8746817,28,5
8749441,2,1
8757715,310,6
8777574,1,1
8841464,125,6
8874028,9,3
8894882,9,3
8918673,67,6
8955082,23,5
8957757,40,5
9001160,15,4
9018710,1,1
9024974,1,1
9062366,74,6
9065156,82,6
9067756,18,4
9122164,9,3
9122181,2,1
9122839,56,6
9133897,15,4
9158110,171,6
9194511,41,5
9204655,80,6
9233035,406,6
9242797,107,6
9317633,1,1
9374290,1,1
9450284,28,5
9487164,6,3
9489731,397,6
9535857,31,5
9561339,21,4
9582313,340,6
9606858,283,6
9619901,12,4
9643063,14,4
9643721,5,3
9686921,3,2
9691789,85,6
9729186,11,4
9745074,444,6
9745952,333,6
9746708,19,4
9747916,234,6
9748289,355,6
9749212,287,6
9799412,7,3
9870115,14,4
10002858,42,5
10097490,68,6
10110891,100,6
10112667,44,5
10119566,10,4
10150445,138,6
10169093,19,4
10169459,3,2
10169885,17,4
10217879,20,4
10240158,54,6
10240991,33,5
10265415,9,3
10305489,45,5
10305681,63,6
10309794,25,5
10374287,22,5
10419228,2,1
10523094,155,6
10561940,43,5
10669855,36,5
10670358,21,4
10693664,156,6
10694137,26,5
10818606,6,3
10886259,16,4
10892229,296,6
10893816,76,6
10893831,60,6
10903481,29,5
10904917,12,4
10914054,4,2
10926519,29,5
10934514,258,6
11000865,291,6
11042882,8,3
11046309,100,6
11108135,191,6
11108459,153,6
11144250,27,5
11194386,4,2
11194516,521,6
11231905,270,6
11232383,247,6
11275822,8,3
11322497,201,6
11367083,126,6
11383161,1,1
11402277,429,6
11409596,56,6
11410034,111,6
11460214,528,6
11508576,190,6
11518288,82,6
11561257,22,5
11561900,76,6
11569859,373,6
11570030,14,4
11596183,18,4
11662755,436,6
11712073,154,6
11712288,232,6
11712349,144,6
11746264,10,4
11897162,54,6
11916648,2,1
11943101,53,6
11954624,41,5
11970375,10,4
11977614,60,6
11978306,64,6
11978325,48,5
11978351,104,6
12032314,10,4
12038423,1,1
12062795,30,5
12078388,1,1
12097507,200,6
12101019,82,6
12143410,151,6
12216270,9,3
12229140,196,6
12236512,1,1
12236781,2,1
12247516,168,6
